ปีการศึกษา 2559 ภาคการศึกษาที่ 1,,,
ลำดับ,วิชา,หน่วยกิต,เกรด
1,INTRODUCTION TO ENGINEERING,1,B+
2,PROGRAMMING FUNDAMENTALS,3,A
3,COMPUTER ENGINEERING EXPLORATION,1,B+
4,ENGINEERING MATHEMATICS I,3,C
5,PHYSICS I,3,B
6,PHYSICS LABORATORY I,1,A
7,ENGLISH I,3,B
8,MAN AND SOCIETY,3,B+
9,TABLE TENNIS,1,A
หน่วยกิตที่ได้ประจำภาค,,19,
เกรดเฉลี่ยประจำภาค,,3.24,
ปีการศึกษา 2559 ภาคการศึกษาที่ 2,,,
ลำดับ,วิชา,หน่วยกิต,เกรด
1,ELECTRIC CIRCUIT THEORY,3,C
2,ELECTRIC CIRCUIT LAB,1,B+
3,ALGORITHMS AND DATA STRUCTURE,3,B+
4,WORK ETHICS,1,B+
5,ENGINEERING MATHEMATICS II,3,D+
6,PHYSICS II,3,D+
7,PHYSICS LABORATORY II,1,A
8,ENGLISH II,3,B+
9,BASKETBALL,1,B
หน่วยกิตที่ได้ประจำภาค,,19,
เกรดเฉลี่ยประจำภาค,,2.63,
ปีการศึกษา 2560 ภาคการศึกษาที่ 1,,,
ลำดับ,วิชา,หน่วยกิต,เกรด
1,STATISTICS FOR COMPUTER ENGINEER,3,C
2,INTRODUCTION TO SIGNALS AND SYSTEMS,3,D
3,LOGIC DESIGN OF DIGITAL SYSTEMS,3,B
4,DIGITAL SYSTEM DESIGN LABORATORY,1,A
5,SOFTWARE DEVELOPMENT PRACTICE I,3,A
6,DISCRETE MATHEMATICS,3,C+
7,PHYSICS IN DAILY LIFE,3,A
หน่วยกิตที่ได้ประจำภาค,,19,
เกรดเฉลี่ยประจำภาค,,2.82,
ปีการศึกษา 2560 ภาคการศึกษาที่ 2,,,
ลำดับ,วิชา,หน่วยกิต,เกรด
1,ANALOG AND DIGITAL ELECTRONICS,3,C
2,COMPUTER NETWORKS I,3,B+
3,UBIQUITOUS COMPUTING,3,B+
4,SOFTWARE DEVELOPMENT PRACTICE II,3,D
5,COMPUTER ORGANIZATION,3,A
6,GENERAL MATHEMATICS,3,A
หน่วยกิตที่ได้ประจำภาค,,18,
เกรดเฉลี่ยประจำภาค,,3.00,
ปีการศึกษา 2561 ภาคการศึกษาที่ 1,,,
ลำดับ,วิชา,หน่วยกิต,เกรด
1,ANALOG AND DIGITAL ELECTRONICS LABORATORY,1,B+
2,SOFTWARE ENGINEERING,3,C+
3,OPERATING SYSTEMS,3,A
4,EMBEDDED SYSTEM DESIGN,3,A
5,COMPUTER NETWORKS II,3,A
6,ENGLISH CONVERSATION,3,B+
หน่วยกิตที่ได้ประจำภาค,,16,
เกรดเฉลี่ยประจำภาค,,3.59,
